id_trecho,uf,br,sentido_via,trecho_km_inicial,trecho_km_final,trecho_extensao_km,trecho_densidade_acidentes,densidade_normalizada,prob_alta_eficacia,indice_prioridade,indice_prioridade_norm,trecho_latitude_central,trecho_longitude_central
ES_BR262_C_T1,ES,262,C,5.0,9.9,4.9,2413,492.45,96,472.75,45.93,-20.3407395,-40.3950681
ES_BR262_D_T1,ES,262,D,5.0,9.9,4.9,2268,462.86,96,444.34,43.17,-20.32820888,-40.38093567
ES_BR101_D_T0,ES,101,D,0.0,4.9,4.9,1079,220.2,90,198.18,19.25,-20.25311831,-40.28786302
ES_BR262_C_T0,ES,262,C,0.0,4.9,4.9,3121,636.94,87,554.14,53.84,-20.33289975,-40.3646468
MG_BR356_D_T52,MG,356,D,263.2,264.9,1.7,128,75.29,83,62.49,6.07,-21.125526,-42.375477
ES_BR101_C_T0,ES,101,C,0.0,4.9,4.9,1024,208.98,82,171.36,16.65,-20.25370211,-40.28808832
ES_BR262_D_T0,ES,262,D,0.0,4.9,4.9,2986,609.39,76,463.13,45.0,-20.33289975,-40.3646468
MG_BR262_D_T110,MG,262,D,550.0,554.9,4.9,261,53.27,76,40.48,3.93,-19.71764199,-45.89096601
ES_BR262_D_T3,ES,262,D,15.0,19.9,4.9,410,83.67,75,62.76,6.1,-20.39137228,-40.48080285
ES_BR101_C_T29_sub_150.022,ES,101,C,148.6,149.9,1.3,408,313.85,74,232.25,22.56,-19.39619083,-40.06435871
MG_BR262_C_T21,MG,262,C,105.0,109.9,4.9,86,17.55,74,12.99,1.26,-20.27440096,-42.56313226
MG_BR251_D_T90,MG,251,D,450.0,454.7,4.7,122,25.96,73,18.95,1.84,-16.419,-43.2997
MG_BR116_C_T143,MG,116,C,715.0,719.9,4.9,188,38.37,73,28.01,2.72,-21.2222213,-42.39420712
MG_BR262_D_T116,MG,262,D,580.0,584.6,4.6,171,37.17,73,27.14,2.64,-19.648819,-46.07129
MG_BR262_D_T112,MG,262,D,560.0,564.7,4.7,129,27.45,72,19.76,1.92,-19.74644502,-45.97780298
SP_BR116_D_T113,SP,116,D,565.0,569.0,4.0,426,106.5,72,76.68,7.45,-25.05185737,-48.5503006
MG_BR262_D_T109,MG,262,D,545.0,549.9,4.9,210,42.86,72,30.86,3.0,-19.72196308,-45.8728078
RJ_BR393_C_T58,RJ,393,C,290.0,294.8,4.8,539,112.29,72,80.85,7.85,-22.517904,-44.1105175
MG_BR262_C_T110,MG,262,C,550.0,554.9,4.9,82,16.73,71,11.88,1.15,-19.70786953,-45.91721892
MG_BR267_C_T57,MG,267,C,285.0,289.9,4.9,134,27.35,70,19.14,1.86,-21.959368,-44.89038
ES_BR262_D_T2,ES,262,D,10.0,14.7,4.7,395,84.04,69,57.99,5.63,0.0,0.0
MG_BR40_D_T150,MG,40,D,750.0,754.9,4.9,333,67.96,69,46.89,4.56,-21.50175148,-43.53304863
MG_BR116_D_T155,MG,116,D,775.0,779.9,4.9,206,42.04,69,29.01,2.82,-21.59738912,-42.69266839
MG_BR381_D_T69,MG,381,D,345.0,349.9,4.9,682,139.18,68,94.64,9.2,-19.8562,-43.1099
ES_BR601_C_T0,ES,601,C,0.0,2.8,2.8,147,52.5,68,35.7,3.47,0.0,0.0
MG_BR50_C_T13,MG,50,C,65.0,69.9,4.9,640,130.61,68,88.82,8.63,-18.874873,-48.2591
ES_BR101_D_T53_sub_264.56,ES,101,D,265.0,265.5,0.5,358,716.0,67,479.72,46.61,-20.18447062,-40.26663492
MG_BR262_C_T117,MG,262,C,585.0,589.9,4.9,167,34.08,67,22.83,2.22,-19.66218198,-46.10927701
MG_BR262_C_T22,MG,262,C,110.0,114.5,4.5,86,19.11,67,12.8,1.24,-20.26297715,-42.59740591
MG_BR365_D_T13,MG,365,D,65.0,69.7,4.7,71,15.11,66,9.97,0.97,-17.0424831,-44.32043986
MG_BR251_D_T66,MG,251,D,330.0,334.9,4.9,156,31.84,66,21.01,2.04,-16.25592586,-42.40115851
MG_BR267_D_T57,MG,267,D,285.0,289.9,4.9,60,12.24,66,8.08,0.79,-21.92761024,-44.79358876
MG_BR251_C_T85,MG,251,C,425.0,429.8,4.8,107,22.29,65,14.49,1.41,-16.32442091,-43.12126176
MG_BR262_C_T12,MG,262,C,60.0,64.8,4.8,87,18.13,65,11.78,1.14,-20.2966,-42.2354
MG_BR262_C_T109,MG,262,C,545.3,549.8,4.5,93,20.67,65,13.43,1.31,-19.72243851,-45.93499111
MG_BR381_D_T68,MG,381,D,340.0,344.8,4.8,567,118.12,65,76.78,7.46,-19.82381923,-43.08004937
MG_BR251_D_T85,MG,251,D,425.0,429.9,4.9,90,18.37,65,11.94,1.16,-16.32510209,-43.12259336
MG_BR354_C_T142,MG,354,C,710.0,714.8,4.8,76,15.83,64,10.13,0.98,-22.04891448,-44.92672473
MG_BR459_C_T13,MG,459,C,65.0,69.9,4.9,112,22.86,64,14.63,1.42,-22.134855,-46.167738
MG_BR381_C_T63,MG,381,C,315.0,319.9,4.9,155,31.63,63,19.93,1.94,-19.68121002,-42.98153091
RJ_BR356_C_T12,RJ,356,C,60.0,64.9,4.9,129,26.33,63,16.59,1.61,-21.349068,-41.713776
MG_BR262_C_T107,MG,262,C,535.0,539.9,4.9,78,15.92,63,10.03,0.97,-19.782969,-45.68597
